year,week,id,team,opp,q1,q2,q3,final,spread,OU,imp_tot,ABCD,AABC,AABB,AAAB,AAAA
1979,5,197909300dal,cin,dal,3,6,13,13,10.0,40.0,15.0,false,false,false,true,false
1979,5,197909300dal,dal,cin,7,21,31,38,-10.0,40.0,25.0,false,true,false,false,false
1979,5,197909300det,min,det,0,3,10,13,3.0,39.0,18.0,false,false,true,false,false
1979,5,197909300det,det,min,0,0,3,10,-3.0,39.0,21.0,false,false,false,true,false
1979,5,197909300nor,nyg,nor,0,0,7,14,6.0,39.0,16.5,false,true,false,false,false
1979,5,197909300nor,nor,nyg,0,10,17,24,-6.0,39.0,22.5,false,true,false,false,false
1979,5,197909300nyj,mia,nyj,10,10,10,27,-4.0,43.0,23.5,false,false,false,true,false
1979,5,197909300nyj,nyj,mia,7,20,26,33,4.0,43.0,19.5,true,false,false,false,false
1979,5,197909300oti,cle,oti,0,10,10,10,6.0,39.0,16.5,false,false,false,false,true
1979,5,197909300oti,oti,cle,10,24,31,31,-6.0,39.0,22.5,false,true,false,false,false
1979,5,197909300phi,pit,phi,0,7,7,14,-4.0,36.0,20.0,false,true,false,false,false
1979,5,197909300phi,phi,pit,0,7,17,17,4.0,36.0,16.0,false,false,false,true,false
1979,5,197909300rai,den,rai,0,3,3,3,-3.0,36.0,19.5,false,false,false,true,false
1979,5,197909300rai,rai,den,7,14,14,27,3.0,36.0,16.5,false,false,true,false,false
1979,5,197909300ram,crd,ram,0,0,0,0,6.0,38.0,16.0,false,false,false,false,true
1979,5,197909300ram,ram,crd,7,14,14,21,-6.0,38.0,22.0,false,true,false,false,false
1979,5,197909300sdg,sfo,sdg,0,3,9,9,13.0,44.0,15.5,false,true,false,false,false
1979,5,197909300sdg,sdg,sfo,0,17,17,31,-13.0,44.0,28.5,false,true,false,false,false
1979,5,197909300sea,kan,sea,0,10,10,24,6.0,43.0,18.5,false,false,false,true,false
1979,5,197909300sea,sea,kan,3,3,6,6,-6.0,43.0,24.5,false,false,true,false,false
1979,5,197910010gnb,nwe,gnb,7,14,14,14,-7.0,39.0,23.0,false,false,false,true,false
1979,5,197910010gnb,gnb,nwe,7,20,27,27,7.0,39.0,16.0,false,false,false,true,false
1979,6,197910070atl,gnb,atl,0,7,7,7,6.0,35.0,14.5,false,false,false,true,false
1979,6,197910070atl,atl,gnb,10,15,18,25,-6.0,35.0,20.5,false,true,false,false,false
1979,6,197910070buf,chi,buf,0,0,0,7,5.0,40.0,17.5,false,false,false,true,false
1979,6,197910070buf,buf,chi,0,0,0,0,-5.0,40.0,22.5,false,false,false,false,true
1979,6,197910070cin,kan,cin,0,10,10,10,0.0,38.0,19.0,false,false,false,false,true
1979,6,197910070cin,cin,kan,0,0,7,7,0.0,38.0,19.0,false,false,true,false,false
1979,6,197910070cle,pit,cle,21,30,37,51,-4.0,36.0,20.0,false,true,false,false,false
1979,6,197910070cle,cle,pit,0,14,21,35,4.0,36.0,16.0,true,false,false,false,false
1979,6,197910070clt,nyj,clt,0,3,6,8,-3.0,42.0,22.5,true,false,false,false,false
1979,6,197910070clt,clt,nyj,10,10,10,10,3.0,42.0,19.5,false,false,false,false,true
1979,6,197910070den,sdg,den,0,0,0,0,-1.0,37.0,19.0,false,false,false,false,true
1979,6,197910070den,den,sdg,0,0,7,7,1.0,37.0,18.0,false,false,true,false,false
1979,6,197910070min,dal,min,3,23,30,36,-7.0,39.0,23.0,false,true,false,false,false
1979,6,197910070min,min,dal,7,10,20,20,7.0,39.0,16.0,false,false,false,true,false
1979,6,197910070nor,ram,nor,0,28,28,35,-4.0,39.0,21.5,false,true,false,false,false
1979,6,197910070nor,nor,ram,7,7,10,17,4.0,39.0,17.5,false,false,false,true,false
1979,6,197910070nwe,det,nwe,0,3,17,17,13.0,40.0,13.5,false,true,false,false,false
1979,6,197910070nwe,nwe,det,0,14,14,24,-13.0,40.0,26.5,false,false,false,true,false
1979,6,197910070nyg,tam,nyg,0,7,7,14,-6.0,34.0,20.0,false,true,false,false,false
1979,6,197910070nyg,nyg,tam,0,14,14,17,6.0,34.0,14.0,false,true,false,false,false
1979,6,197910070oti,crd,oti,0,7,10,24,7.0,39.0,16.0,false,true,false,false,false
1979,6,197910070oti,oti,crd,0,14,14,17,-7.0,39.0,23.0,false,true,false,false,false
1979,6,197910070phi,was,phi,0,7,7,17,1.0,37.0,18.0,false,false,false,true,false
1979,6,197910070phi,phi,was,7,14,28,28,-1.0,37.0,19.0,false,true,false,false,false
1979,6,197910070sfo,sea,sfo,14,21,28,35,-5.0,43.0,24.0,true,false,false,false,false
1979,6,197910070sfo,sfo,sea,7,10,10,24,5.0,43.0,19.0,false,true,false,false,false
1979,6,197910080rai,mia,rai,0,0,3,3,-1.0,39.0,20.0,false,false,true,false,false
1979,6,197910080rai,rai,mia,0,0,13,13,1.0,39.0,19.0,false,false,true,false,false
1979,7,197910140chi,nwe,chi,14,14,17,27,-4.0,37.0,20.5,false,false,true,false,false
1979,7,197910140chi,chi,nwe,0,7,7,7,4.0,37.0,16.5,false,false,false,true,false
1979,7,197910140cin,pit,cin,3,3,3,10,-10.0,39.0,24.5,false,false,false,true,false
1979,7,197910140cin,cin,pit,7,27,27,34,10.0,39.0,14.5,false,false,false,true,false
1979,7,197910140cle,was,cle,0,3,6,13,4.0,34.0,15.0,false,true,false,false,false
1979,7,197910140cle,cle,was,0,6,9,9,-4.0,34.0,19.0,false,true,false,false,false
1979,7,197910140clt,oti,clt,7,14,28,28,-6.0,36.0,21.0,false,true,false,false,false
1979,7,197910140clt,clt,oti,6,6,9,16,6.0,36.0,15.0,false,false,false,true,false
1979,7,197910140crd,phi,crd,0,7,17,24,3.0,38.0,17.5,false,true,false,false,false
1979,7,197910140crd,crd,phi,3,6,13,20,-3.0,38.0,20.5,false,true,false,false,false
1979,7,197910140dal,ram,dal,0,6,6,6,3.0,39.0,18.0,false,false,false,true,false
1979,7,197910140dal,dal,ram,6,13,30,30,-3.0,39.0,21.0,false,true,false,false,false
1979,7,197910140gnb,det,gnb,0,9,16,16,4.0,36.0,16.0,false,true,false,false,false
1979,7,197910140gnb,gnb,det,0,10,17,24,-4.0,36.0,20.0,false,true,false,false,false
1979,7,197910140kan,den,kan,3,10,17,24,-1.0,34.0,17.5,true,false,false,false,false
1979,7,197910140kan,kan,den,0,0,0,10,1.0,34.0,16.5,false,false,false,false,true
1979,7,197910140mia,buf,mia,0,0,7,7,6.0,40.0,17.0,false,false,true,false,false
1979,7,197910140mia,mia,buf,7,17,17,17,-6.0,40.0,23.0,false,false,false,false,true
1979,7,197910140nyg,sfo,nyg,3,3,10,16,4.0,38.0,17.0,false,true,false,false,false
1979,7,197910140nyg,nyg,sfo,2,29,29,32,-4.0,38.0,21.0,false,false,true,false,false
1979,7,197910140rai,atl,rai,0,0,12,19,10.0,37.0,13.5,false,true,false,false,false
1979,7,197910140rai,rai,atl,10,19,29,50,-10.0,37.0,23.5,false,false,true,false,false
1979,7,197910140sdg,sea,sdg,0,3,3,10,10.0,44.0,17.0,false,false,true,false,false
1979,7,197910140sdg,sdg,sea,7,7,14,20,-10.0,44.0,27.0,false,true,false,false,false
1979,7,197910140tam,nor,tam,0,0,21,42,8.0,38.0,15.0,false,true,false,false,false
1979,7,197910140tam,tam,nor,0,0,7,14,-8.0,38.0,23.0,false,true,false,false,false
1979,7,197910150nyj,min,nyj,0,0,0,7,4.0,42.0,19.0,false,false,false,true,false
1979,7,197910150nyj,nyj,min,7,7,14,14,-4.0,42.0,23.0,false,false,true,false,false
1979,8,197910210buf,clt,buf,0,7,7,14,6.0,39.0,16.5,false,true,false,false,false
1979,8,197910210buf,buf,clt,0,0,7,13,-6.0,39.0,22.5,false,true,false,false,false
1979,8,197910210cle,cin,cle,7,7,20,27,3.0,39.0,18.0,false,false,false,true,false
1979,8,197910210cle,cle,cin,7,7,14,28,-3.0,39.0,21.0,false,true,false,false,false
1979,8,197910210dal,crd,dal,6,13,13,13,10.0,39.0,14.5,false,false,false,true,false
1979,8,197910210dal,dal,crd,3,17,19,22,-10.0,39.0,24.5,true,false,false,false,false
1979,8,197910210kan,nyg,kan,0,0,14,21,6.0,36.0,15.0,false,true,false,false,false
1979,8,197910210kan,kan,nyg,3,10,10,17,-6.0,36.0,21.0,false,true,false,false,false
1979,8,197910210min,chi,min,7,14,17,27,2.0,36.0,17.0,false,false,false,true,false
1979,8,197910210min,min,chi,3,10,17,30,-2.0,36.0,19.0,false,true,false,false,false
1979,8,197910210nor,det,nor,0,0,7,7,7.0,42.0,17.5,false,false,true,false,false
1979,8,197910210nor,nor,det,7,10,17,17,-7.0,42.0,24.5,false,false,false,true,false
1979,8,197910210nwe,mia,nwe,10,13,13,13,5.0,38.0,16.5,false,false,false,true,false
1979,8,197910210nwe,nwe,mia,0,7,14,28,-5.0,38.0,21.5,true,false,false,false,false
1979,8,197910210nyj,rai,nyj,0,10,13,19,-3.0,42.0,22.5,false,true,false,false,false
1979,8,197910210nyj,nyj,rai,7,7,14,28,3.0,42.0,19.5,false,true,false,false,false
1979,8,197910210ram,sdg,ram,7,14,31,40,-1.0,37.0,19.0,true,false,false,false,false
1979,8,197910210ram,ram,sdg,7,7,7,16,1.0,37.0,18.0,false,false,false,true,false
1979,8,197910210sea,oti,sea,0,7,7,14,-2.0,42.0,22.0,false,true,false,false,false
1979,8,197910210sea,sea,oti,7,14,20,34,2.0,42.0,20.0,false,true,false,false,false
1979,8,197910210sfo,atl,sfo,0,9,9,15,-4.0,42.0,23.0,false,true,false,false,false
